pmcid,doi,title,journal,pubdate,pub_year,criteria_era,article_type_inferred,num_patients,age_numeric,age_descriptive,age_original_quote,age_range_mapped,age_midpoint_for_analysis,age_group,age_unit_original,sex,eds_mentioned,pots_mentioned,mcas_mentioned,triad_present,diagnostic_criteria_cited,beighton_score,symptoms_detected,terminology_used,extraction_method,extraction_date
PMC13079633,10.3389/frph.2026.1753684,"Females with hypermobile Ehlers–Danlos syndrome self-report more sexual problems than chronic pain controls without hypermobility, males, or patients with hypermobile spectrum disorders.",Front Reprod Health,2026,2026,post-2017 (2017 international classification),clinical_study,407,18,,"2Study designThis retrospective observational study examined adult patients (≥18 years of age) seen at the Mayo Clinic Florida EDS Clinic in the Department of Internal Medicine from 1 February 2020 to 19 May 2025 (n = 1,407) by self-referral or referrals from inside or outside the Mayo Clinic.",,18,young adult (18-29),years,female,True,False,True,False,2017 international classification; Beighton,5,joint_hypermobility; subluxations_dislocations; chronic_pain; skin_hyperextensibility; fatigue; headache_migraine,hEDS; hypermobile EDS; JHS; HSD; MCAS; mast cell activation syndrome,rule_based_v2,2026-04-16T20:41:02.205210
PMC13070550,10.7759/cureus.105190,Tourniquet Use and Anesthesiology Considerations in Patients With Hypermobile Ehlers-Danlos Syndrome: Balancing Orthopedic Needs With Anesthetic Safety.,Cureus,2026 Mar,2026,post-2017 (2017 international classification),review_or_study,16,,,,,,,years,,True,True,False,False,,,joint_hypermobility; subluxations_dislocations; chronic_pain; tachycardia; syncope; skin_hyperextensibility; easy_bruising; neuropathy; medication_sensitivity,hEDS; hypermobile EDS; JHS; POTS; postural tachycardia syndrome; dysautonomia,rule_based_v2,2026-04-16T20:41:02.218529
PMC13067300,10.1155/cria/8693646,2-Chloroprocaine vs. Lidocaine in a Patient With Hypermobile Ehlers-Danlos Syndrome and a History of Local Anesthetic Resistance: A Case Report.,Case Rep Anesthesiol,2026,2026,post-2017 (2017 international classification),case_report,1,33,,We describe a 33-year-old G2P0010 ASA III parturient with a history of hEDS and lidocaine resistance who presented for an anesthesia consultation in anticipation of possible neuraxial anesthesia.,,33,adult (30-44),years,,True,False,False,False,,,joint_hypermobility; skin_hyperextensibility; headache_migraine,hEDS; hypermobile EDS,rule_based_v2,2026-04-16T20:41:02.226885
PMC13059101,10.1016/j.radcr.2026.02.074,Bilateral optic neuritis and multiple nerve sheath tumors in a patient with genetically characterized Ehlers-Danlos syndrome: A rare co-occurrence.,Radiol Case Rep,2026 Jun,2026,post-2017 (2017 international classification),case_report,1,26,,We describe a 26-year-old woman with genetically characterized clEDS (TNXB variant) who presented with subacute bilateral visual loss.,,26,young adult (18-29),years,female,True,False,False,False,2017 international classification,,joint_hypermobility; headache_migraine; neuropathy; mitral_valve_prolapse,JHS,rule_based_v2,2026-04-16T20:41:02.229788
PMC13045598,10.1016/j.jaccas.2026.107356,Returning to Exercise After Valsalva-Induced Carotid Artery Dissection.,JACC Case Rep,2026 Mar 25,2026,post-2017 (2017 international classification),case_report,1,19,,"Case SummaryWe implemented progressive ExT in a 19-year-old man with vEDS after he experienced separate, bilateral ICADs that occurred 12 months apart.",,19,young adult (18-29),years,male,True,False,False,False,,,tachycardia; syncope,,rule_based_v2,2026-04-16T20:41:02.234771
PMC13037643,10.2147/VHRM.S592420,The Investigation and Management of the Abdominopelvic Vascular Compression Syndromes in Patients with Ehlers-Danlos Syndrome and Hypermobility Spectrum Disorder.,Vasc Health Risk Manag,2026,2026,post-2017 (2017 international classification),clinical_study,3,,,,,,,years,female,True,True,True,True,,,joint_hypermobility; chronic_pain; orthostatic_intolerance; tachycardia; syncope; urticaria; skin_hyperextensibility; fatigue; gi_symptoms; headache_migraine; neuropathy; brain_fog; palpitations,hEDS; hypermobile EDS; JHS; HSD; POTS; postural tachycardia syndrome; dysautonomia; MCAS; mast cell activation syndrome,rule_based_v2,2026-04-16T20:41:02.241982
PMC13033888,10.1177/17534666261437339,Spontaneous pneumothorax-associated with genetic disorders.,Ther Adv Respir Dis,2026 Jan-Dec,2026,post-2017 (2017 international classification),clinical_study,8,26,,3% to age 65 years).,,26,young adult (18-29),years,female,True,False,False,False,2017 international classification,,joint_hypermobility; subluxations_dislocations; flushing,EDS type III; hypermobile EDS,rule_based_v2,2026-04-16T20:41:02.259525
PMC13026537,10.3390/jcm15062212,Characterizing Initial Cervical Spine and Neurovascular Findings in 84 Consecutive Patients with Hypermobile Ehlers-Danlos Syndrome: A Retrospective Study.,J Clin Med,2026 Mar 14,2026,post-2017 (2017 international classification),clinical_study,84,20,,"Methods: This single-center, retrospective observational study included patients with hEDS aged 20-50 years from 1 January 2022-31 December 2024, at an outpatient neck center.",,20,young adult (18-29),years,female,True,False,False,False,2017 international classification,,joint_hypermobility; chronic_pain; orthostatic_intolerance; tachycardia; skin_hyperextensibility; fatigue; headache_migraine; neuropathy; brain_fog; palpitations,hEDS; hypermobile EDS; JHS; dysautonomia,rule_based_v2,2026-04-16T20:41:02.273893
PMC12991944,10.1016/j.tcr.2026.101317,Acute isolated traumatic anterior pisiform dislocation in an adult: A case report.,Trauma Case Rep,2026 Feb,2026,post-2017 (2017 international classification),case_report,1,23,,"This report describes a 23-year-old, right-handed male who presented in March 2024 with acute anterior pisiform dislocation following indirect trauma while lifting furniture.",,23,young adult (18-29),years,male,True,False,False,False,,,subluxations_dislocations; chronic_pain,,rule_based_v2,2026-04-16T20:41:02.290034
PMC12969107,10.1016/j.jvscit.2026.102169,Vascular Ehlers-Danlos syndrome with ruptured thoracic aortic aneurysm complicated by vascular graft and endograft infection and aortobronchial fistula.,J Vasc Surg Cases Innov Tech,2026 Jun,2026,post-2017 (2017 international classification),case_report,1,40,,"We report the case of a 40-year-old man presenting with a ruptured saccular aortic isthmus aneurysm treated with thoracic endovascular aortic repair, complicated by vascular graft or endograft infection with an aortobronchial fistula and multiple pseudoaneurysms.",,40,adult (30-44),years,male,True,False,False,False,,,gi_symptoms,,rule_based_v2,2026-04-16T20:41:02.292265
