uid,pmcid,title,journal,pubdate,authors,doi
13037643,PMC13037643,The Investigation and Management of the Abdominopelvic Vascular Compression Syndromes in Patients with Ehlers-Danlos Syndrome and Hypermobility Spectrum Disorder.,Vasc Health Risk Manag,2026,Bruessel P; Govender M; Frahm-Jensen G,10.2147/VHRM.S592420
13023622,PMC13023622,An Overview of Vascular Compression Syndromes and Associations with Autonomic Dysfunction: A Review.,Biomedicines,2026 Mar 17,Davis BM; Rantanen P; Seo G; Thadani S; Spencer EB; Hepworth E; Cutchins A,10.3390/biomedicines14030689
12998959,PMC12998959,"Postural Orthostatic Tachycardia Syndrome, Myalgic Encephalomyelitis/Chronic Fatigue Syndrome and Long COVID as Neuroimmune Disorders.",Immunotargets Ther,2026,Blitshteyn S; Doherty TA; Steinman L,10.2147/ITT.S581262
12982215,PMC12982215,Systematic literature review: treatment of postural orthostatic tachycardia syndrome (POTS).,Clin Auton Res,2026 Feb,Schiweck N; Langer K; Maier A; Vilser D; Spiegler J,10.1007/s10286-025-01172-2
12949424,PMC12949424,Postural Orthostatic Tachycardia Syndrome Presenting With Recurrent Syncope After Cervical Spinal Cord Injury.,Clin Case Rep,2026 Mar,Liu Y; Fang B; Zhen Q,10.1002/ccr3.72181
12892731,PMC12892731,Genetic variants in acetylcholine processing and significant improvement with pyridostigmine in a patient with postural orthostatic tachycardia syndrome: a case report.,Eur Heart J Case Rep,2026 Feb,Stephenson KM; Foster B; Blitshteyn S,10.1093/ehjcr/ytag033
12864418,PMC12864418,"Post-licensure safety surveillance of 9-valent human papillomavirus vaccine using the vaccine adverse event reporting system, 2014-2024.",Front Public Health,2026,Chen JH; Chen M; Wu ZY; Luo QM; Tu YY,10.3389/fpubh.2026.1724482
12813278,PMC12813278,Autoimmune syndrome induced by adjuvants (ASIA) following urethral sling placement: A case report.,Case Rep Womens Health,2026 Mar,Hammad MAM; Gryzinski G; Pak EM; Bell A; Ghoniem G,10.1016/j.crwh.2025.e00778
12802868,PMC12802868,Tirzepatide and Autonomic Dysfunction: Insights From Postural Orthostatic Tachycardia Syndrome.,JACC Case Rep,2025 Dec 17,Zhan ZQ,10.1016/j.jaccas.2025.106326
12793844,PMC12793844,Exacerbation of Postural Orthostatic Tachycardia Syndrome With Tirzepatide Prescribed for Weight Loss.,JACC Case Rep,2025 Oct 15,Hedge ET; Grappe SR; Vernino S; Almandoz JP; Levine BD,10.1016/j.jaccas.2025.105430
12711217,PMC12711217,Use of Ivabradine in the Treatment of Patients with Postural Orthostatic Tachycardia Syndrome (POTS): A Systematic Review.,Arq Bras Cardiol,2025 Nov,Melo APG; Moretti MA; Chagas ACP,10.36660/abc.20250347
12743803,PMC12743803,Complex chronic adverse events following immunization: a systemic critique and reform proposal for vaccine pharmacovigilance.,Ther Adv Drug Saf,2025,Kenny TA,10.1177/20420986251395925
12736109,PMC12736109,Disproportionality Analysis of Adverse Events Associated with IL-1 Inhibitors in the FDA Adverse Event Reporting System (FAERS).,Pharmaceuticals (Basel),2025 Dec 1,Lei J; Lou Z; Jiang Y; Cui Y; Li S; Hu J; Jing Y; Yang J,10.3390/ph18121827
12714501,PMC12714501,Autonomic Dysfunction and Postural Orthostatic Tachycardia Syndrome Secondary to Abuse.,JACC Case Rep,2025 Nov 26,Reiss S; Reiss R; Reiss C,10.1016/j.jaccas.2025.105773
12640735,PMC12640735,Effects of human papillomavirus (HPV) vaccination programmes on community rates of HPV-related disease and harms from vaccination.,Cochrane Database Syst Rev,2025 Nov 24,Henschke N; Bergman H; Buckley BS; Crosbie EJ; Dwan K; Golder SP; Kyrgiou M; Loke YK; McIntosh HM; Probyn K; Villanueva G; Morrison J,10.1002/14651858.CD015363.pub2
12640326,PMC12640326,Postural orthostatic tachycardia syndrome is the most frequent cardiovascular autonomic disorder following COVID-19 infection or vaccination.,J Neurol,2025 Nov 22,Leys F; Verginer M; Kirchler E; Marino L; Goebel G; Campese N; Eschlböck S; Duerr S; Broessner G; Djamshidian-Tehrani A; Heidbreder A; Högl B; Rothmund-Grenier MS; Hüfner K; Iglseder S; Löscher W; Stefani A; Wanschitz J; Weiss G; Zamarian L; Löffler-Ragg J; Helbok R; Kiechl S; Granata R; Wenning GK; Fanciulli A,10.1007/s00415-025-13518-x
12574150,PMC12574150,Postural orthostatic tachycardia syndrome and orthostatic intolerance in adult patients with active cancer.,Cardiooncology,2025 Oct 29,Hamam I; Holy AA; Darwish O; Alkhalaileh B; Abdulelah A; Shaaban S; Qudah SA; Amro M; Shakhatreh A; Alkarmi A; Jarrad I,10.1186/s40959-025-00379-6
12554255,PMC12554255,Chronic Cardiovascular Disorders Associated With COVID-19: A Literature Review.,Cureus,2025 Sep,Dudek A; Bursy M; Szkudlarek W; Linkiewicz J; Fabiszewski Z; Starosta P,10.7759/cureus.93271
12520903,PMC12520903,Differential diagnosis of orthostatic dizziness with persistent postural-perceptual dizziness and its underlying mechanisms.,Front Neurol,2025,Dao Pei Z; Yong Hui Z; Bing Yang L; Huai Liang Z; Min Z,10.3389/fneur.2025.1642869
