uid,pmcid,title,journal,pubdate,authors,doi
13062037,PMC13062037,Gastrointestinal Symptoms and Systemic Comorbidities in Patients With POTS: A Systematic Review and Meta-Analysis.,Neurogastroenterol Motil,2026 Apr,Kulin D; Shah A; Fairlie T; Staller K; Nurko S; Keefer L; Aziz Q; Drossman DA; Jones MP; Holtmann G,10.1111/nmo.70305
13037643,PMC13037643,The Investigation and Management of the Abdominopelvic Vascular Compression Syndromes in Patients with Ehlers-Danlos Syndrome and Hypermobility Spectrum Disorder.,Vasc Health Risk Manag,2026,Bruessel P; Govender M; Frahm-Jensen G,10.2147/VHRM.S592420
12942574,PMC12942574,Patient Characteristics of a Telemedicine Clinic for Pediatric and Young Adult Postural Orthostatic Tachycardia Syndrome.,J Clin Med,2026 Feb 20,Boris JR,10.3390/jcm15041626
12633589,PMC12633589,Understanding Comorbidities in Hypermobile Ehlers-Danlos Syndrome: Could a Viral Infection Lead to a Diagnosis?,medRxiv,2025 Oct 24,Pearson ML; Laraway BJ; Elias ER; Bilousova G; Haendel MA; National Clinical Cohort Collaborative (N3C) Consortium,10.1101/2025.10.22.25338573
12541780,PMC12541780,Wearable technology in the management of complex chronic illness: preliminary survey results on self-reported outcomes.,Front Digit Health,2025,Sawyer A; Preston R; Leeming H; Martin-Fuller L; Proal A; Putrino D,10.3389/fdgth.2025.1662255
12437428,PMC12437428,"Hypermobility, immune dysfunction and dysautonomia cluster in ADHD.",Eur Psychiatry,2025 Apr,Kustow J,10.1192/j.eurpsy.2025.189
12063504,PMC12063504,"Association of postural orthostatic tachycardia syndrome, hypermobility spectrum disorders, and mast cell activation syndrome in young patients; prevalence, overlap and response to therapy depends on the definition.",Front Neurol,2025,Yao L; Subramaniam K; Raja KM; Arunachalam A; Tran A; Pandey T; Ravishankar S; Suggala S; Hendrickson C; Maxwell AJ,10.3389/fneur.2025.1513199
12048102,PMC12048102,Prevalence of Autoantibodies in Patients with Hereditary Alpha-Tryptasemia.,Int Arch Allergy Immunol,2025,Slapnicar C; Lee E; Vadas P,10.1159/000541880
12043455,PMC12043455,Hyperventilation during rest and exercise in orthostatic intolerance and Spiky-Leaky Syndrome.,Front Neurol,2025,Hashemizad A; Dela Cruz J; Narayan A; Maxwell AJ,10.3389/fneur.2025.1512671
11809041,PMC11809041,Comorbidities and neurosurgical interventions in a cohort with connective tissue disorders.,Front Neurol,2024,Ruhoy IS; Bolognese PA; Rosenblum JS; Dass RA; Nayyer NS; Wood JD; Biggins JB,10.3389/fneur.2024.1484504
11755520,PMC11755520,The prevalence of hypermobile Ehlers-Danlos syndrome at a gender-affirming primary care clinic.,SAGE Open Med,2025,Stein T; Collins S; St Louis J,10.1177/20503121251315021
11613559,PMC11613559,"Comorbidity, misdiagnoses, and the diagnostic odyssey in patients with hypermobile Ehlers-Danlos syndrome.",Genet Med Open,2023,Halverson CME; Cao S; Perkins SM; Francomano CA,10.1016/j.gimo.2023.100812
11410636,PMC11410636,Long COVID and hypermobility spectrum disorders have shared pathophysiology.,Front Neurol,2024,Ganesh R; Munipalli B,10.3389/fneur.2024.1455498
11095771,PMC11095771,Management of childbearing with hypermobile Ehlers-Danlos syndrome and hypermobility spectrum disorders: A scoping review and expert co-creation of evidence-based clinical guidelines.,PLoS One,2024,Pezaro S; Brock I; Buckley M; Callaway S; Demirdas S; Hakim A; Harris C; High Gross C; Karanfil M; Le Ray I; McGillis L; Nasar B; Russo M; Ryan L; Blagowidow N,10.1371/journal.pone.0302401
11033372,PMC11033372,"Longitudinal cytokine and multi-modal health data of an extremely severe ME/CFS patient with HSD reveals insights into immunopathology, and disease severity.",Front Immunol,2024,Jahanbani F; Sing JC; Maynard RD; Jahanbani S; Dafoe J; Dafoe W; Jones N; Wallace KJ; Rastan A; Maecker HT; Röst HL; Snyder MP; Davis RW,10.3389/fimmu.2024.1369295
10806170,PMC10806170,Characterizing a new clinical phenotype: the co-existence of cerebral venous outflow and connective tissue disorders.,Front Neurol,2023,Midtlien JP; Curry BP; Chang E; Kiritsis NR; Aldridge JB; Fargen KM,10.3389/fneur.2023.1305972
10672129,PMC10672129,Neuropsychiatric Manifestations of Mast Cell Activation Syndrome and Response to Mast-Cell-Directed Treatment: A Case Series.,J Pers Med,2023 Oct 31,Weinstock LB; Nelson RM; Blitshteyn S,10.3390/jpm13111562
9122800,PMC9122800,"Idiopathic osteoporosis, Ehlers-Danlos syndrome, postural orthostatic tachycardia syndrome, and mast cell activation disorder in a 27-year-old male patient: A unique case presentation.",Clin Case Rep,2022 May,Rattray C,10.1002/ccr3.5887
