uid,pmcid,title,journal,pubdate,doi
10369693,PMC10369693,"Perioperative opioid-minimization approach as a useful protocol in the management of patients with Ehlers-Danlos syndrome-hypermobility type, craniocervical instability and severe chronic pain who are to undergo occipito-cervical fixation.",Orphanet J Rare Dis,2023 Jul 25,10.1186/s13023-023-02829-9
9302035,PMC9302035,A Diagnosis of Camptodactyly With Benign Joint Hypermobility Syndrome in a Patient Presenting With Fixed Flexion Deformity of the Fingers and Striae.,Cureus,2022 Jun,10.7759/cureus.26148
8546774,PMC8546774,Connecting brain and body: Transdiagnostic relevance of connective tissue variants to neuropsychiatric symptom expression.,World J Psychiatry,2021 Oct 19,10.5498/wjp.v11.i10.805
8149255,PMC8149255,Association between Postural Orthostatic Tachycardia Syndrome and Joint Hypermobility.,Case Rep Cardiol,2021,10.1155/2021/8875003
7449847,PMC7449847,Surgical Management of Shoulder and Knee Instability in Patients with Ehlers-Danlos Syndrome: Joint Hypermobility Syndrome.,Clin Orthop Surg,2020 Sep,10.4055/cios20103
6652450,PMC6652450,13. Pain in joint hypermobility syndrome.,Rheumatol Adv Pract,2017 Oct,10.1093/rap/rkx014.002
6501436,PMC6501436,Comparable patient-reported outcomes in females with or without joint hypermobility after hip arthroscopy and capsular plication for femoroacetabular impingement syndrome.,J Hip Preserv Surg,2019 Jan,10.1093/jhps/hnz004
3736514,PMC3736514,"Children with generalised joint hypermobility and musculoskeletal complaints: state of the art on diagnostics, clinical characteristics, and treatment.",Biomed Res Int,2013,10.1155/2013/121054
3512326,PMC3512326,"Ehlers-danlos syndrome, hypermobility type: an underdiagnosed hereditary connective tissue disorder with mucocutaneous, articular, and systemic manifestations.",ISRN Dermatol,2012,10.5402/2012/751768
2262905,PMC2262905,Posterior dislocation of the elbow as an unusual presentation after a total hip replacement: a case report.,J Med Case Rep,2008 Feb 6,10.1186/1752-1947-2-38
