uid,pmcid,title,journal,pubdate,doi
13075920,PMC13075920,"Peripheral Nerve Surgery and Chemotherapy: A Review, Index, and Decision Tree for Nerve Surgeons Considering Neurotization After Oncological Nerve Injuries.",Neurosurg Pract,2026 Jun,10.1227/neuprac.0000000000000206
13070550,PMC13070550,Tourniquet Use and Anesthesiology Considerations in Patients With Hypermobile Ehlers-Danlos Syndrome: Balancing Orthopedic Needs With Anesthetic Safety.,Cureus,2026 Mar,10.7759/cureus.105190
13070483,PMC13070483,"PURA-Related Neurodevelopmental Disorder: A Comprehensive Clinical Review of Genetics, Phenotype, and Emerging Therapeutic Strategies.",Cureus,2026 Mar,10.7759/cureus.105181
13066704,PMC13066704,Osteopathic Manipulative Treatment for Complex Regional Pain Syndrome: A Scoping Review of Current Evidence.,Cureus,2026 Apr,10.7759/cureus.106748
13061278,PMC13061278,Posterior Reversible Encephalopathy Syndrome (PRES) in an Elderly Patient With Advanced Parkinson's Disease and Autonomic Dysfunction: A Case Report and Literature Review.,Cureus,2026 Mar,10.7759/cureus.104879
13045129,PMC13045129,Targeting risk factors and strategies for prevention of peripheral neuropathy: focus on B-vitamin deficiencies and metabolic diseases.,Neurol Res Pract,2026 Apr 1,10.1186/s42466-026-00466-8
13040132,PMC13040132,Postprandial Hypotension-Methods for the Evaluation and Management.,Geriatr Gerontol Int,2026 Apr,10.1111/ggi.70456
13034025,PMC13034025,Morvan syndrome in a patient with progressing metastatic thymoma and myasthenia gravis.,BMJ Case Rep,2026 Mar 19,10.1136/bcr-2025-271140
13023622,PMC13023622,An Overview of Vascular Compression Syndromes and Associations with Autonomic Dysfunction: A Review.,Biomedicines,2026 Mar 17,10.3390/biomedicines14030689
13025851,PMC13025851,PHOX2B Tyr14Ter Mutation Might Be Associated with Sustained Diurnal Hypertension: Case Report and Review of the Literature.,Children (Basel),2026 Mar 19,10.3390/children13030425
13029649,PMC13029649,"Treating the Patient, Not Only the Amyloid: Symptomatic Management in Transthyretin Amyloidosis.",Neurol Int,2026 Mar 13,10.3390/neurolint18030053
13003461,PMC13003461,"Erectile dysfunction, type 2 diabetes, and cardiovascular disease: a narrative review and insights from a global real-world cohort analysis.",Front Clin Diabetes Healthc,2026,10.3389/fcdhc.2026.1781581
13000107,PMC13000107,Innovative Diabetes Therapies and Impact on Peripheral and Autonomic Diabetic Neuropathies: A State-of-the-Art Review.,Diabetes Ther,2026 Mar,10.1007/s13300-025-01828-2
12998959,PMC12998959,"Postural Orthostatic Tachycardia Syndrome, Myalgic Encephalomyelitis/Chronic Fatigue Syndrome and Long COVID as Neuroimmune Disorders.",Immunotargets Ther,2026,10.2147/ITT.S581262
12998714,PMC12998714,Regenerative medicine approaches for the treatment of peripheral nerve injuries: progress and challenges.,Regen Biomater,2026,10.1093/rb/rbag015
12994531,PMC12994531,Multiple Red Flags of Transthyretin Amyloid Cardiomyopathy in a Single Patient: A Case Report on Diagnostic Challenge.,Int Med Case Rep J,2026,10.2147/IMCRJ.S589746
12988465,PMC12988465,Rewiring the Lung-CNS Axis After Spinal Cord Injury.,J Inflamm Res,2026,10.2147/JIR.S542308
12967037,PMC12967037,Morvan Syndrome Masquerading as Anxiety Disorder: A Case Report Highlighting the Importance of Recognizing Organic Signs in Psychiatric Settings.,Int Med Case Rep J,2026,10.2147/IMCRJ.S589585
12966997,PMC12966997,Efficacy of Lidocaine Infusion in the Management of Chronic Myofascial Pain and Intractable Migrainous Headache in a Patient With Hypermobile Ehlers-Danlos Syndrome: A Case Report.,Cureus,2026 Feb,10.7759/cureus.103015
12961582,PMC12961582,Sickle cell related cardiomyopathy and cardiovascular autonomic dysfunction.,Front Cardiovasc Med,2026,10.3389/fcvm.2026.1756623
12949424,PMC12949424,Postural Orthostatic Tachycardia Syndrome Presenting With Recurrent Syncope After Cervical Spinal Cord Injury.,Clin Case Rep,2026 Mar,10.1002/ccr3.72181
12947505,PMC12947505,Inferior olive lesions in autoimmune glial fibrillary acidic protein astrocytopathy: a report of two cases.,BMC Neurol,2026 Jan 31,10.1186/s12883-026-04683-1
12932114,PMC12932114,"Negative [99mTc]Tc -DPD Scintigraphy, Presence of Monoclonal Protein and Biopsy Suggestive of AL Amyloidosis in a Patient With Homozygous p.Ala101Val Transthyretin Gene Variant.",Clin Case Rep,2026 Mar,10.1002/ccr3.71928
12929980,PMC12929980,Mapping of Dietary Interventions Beneficial in the Prevention of Secondary Health Conditions in Spinal Cord Injured Population: A Systematic Review.,J Nutr Health Aging,2023,10.1007/s12603-023-1937-6
12926101,PMC12926101,BRAT1 gene compound heterozygous mutations causing lethal neonatal rigidity and multifocal seizure syndrome: a case report.,Front Pediatr,2026,10.3389/fped.2026.1694328
12909685,PMC12909685,The causative role of amyloidosis in the cardiac complications of Alzheimer's disease: a comprehensive systematic review.,J Physiol,2026 Feb,10.1113/JP286599
12891107,PMC12891107,Promethazine-induced neuroleptic malignant syndrome under general anesthesia: a case report.,Front Psychiatry,2026,10.3389/fpsyt.2026.1700644
12889289,PMC12889289,Ultrasonographic measurement of cross-sectional area of the vagus nerve in patients with diabetic neuropathy: a systematic review and meta-analysis.,Ann Med Surg (Lond),2026 Feb,10.1097/MS9.0000000000004705
12883741,PMC12883741,"Heart rate variability in cardiovascular disease diagnosis, prognosis and management.",Front Cardiovasc Med,2025,10.3389/fcvm.2025.1680783
12863776,PMC12863776,Effect of antifungal triazoles on vinca alkaloid neurotoxicity in pediatric patients: A retrospective case series analysis and literature review.,Medicine (Baltimore),2026 Jan 30,10.1097/MD.0000000000047447
12858730,PMC12858730,Challenges in managing prolonged intensive care unit stay for Guillain-Barré syndrome-acute motor axonal neuropathy variant.,SAGE Open Med Case Rep,2026,10.1177/2050313X261418766
12851403,PMC12851403,Mechanisms and Clinical Implications of the Post-traumatic Stress Disorder (PTSD)-Cardiovascular Disease Link.,Cureus,2025 Dec,10.7759/cureus.100349
12844876,PMC12844876,Adult Botulism of Unknown Source with Post-Toxin Anti-GQ1b Antibodies: Implications for Molecular Mimicry-A Case Report.,Neurol Int,2025 Dec 29,10.3390/neurolint18010008
12834015,PMC12834015,Relationship between COVID-19 and hypopituitarism: A two-sample Mendelian randomization study.,IBRO Neurosci Rep,2025 Dec,10.1016/j.ibneur.2025.08.019
12831383,PMC12831383,"Dengue virus infection and Guillain-Barré syndrome: a systematic review of clinical characteristics, outcomes, and predictors of severity.",BMC Infect Dis,2025 Dec 20,10.1186/s12879-025-12428-7
12773426,PMC12773426,Abstract 126: Bilateral Limb Shaking TIA secondary to Severe Bilateral Carotid Stenosis.,Stroke Vasc Interv Neurol,2023 Nov,10.1161/SVIN.03.suppl_2.126
12815724,PMC12815724,"Autonomic dysfunction and hemodynamic management after acute spinal cord injury: blood pressure targets, perfusion strategies, and emerging therapies.",Front Neurol,2025,10.3389/fneur.2025.1716013
12812994,PMC12812994,Pharmacovigilance study on neurological adverse reactions of proteasome inhibitors in the FDA adverse event reporting system.,Front Pharmacol,2025,10.3389/fphar.2025.1712361
12811643,PMC12811643,Arrhythmogenic Implications of Inflammatory Bowel Disease: Its Mechanisms and Treatment Effects.,Cureus,2025 Dec,10.7759/cureus.99503
12802868,PMC12802868,Tirzepatide and Autonomic Dysfunction: Insights From Postural Orthostatic Tachycardia Syndrome.,JACC Case Rep,2025 Dec 17,10.1016/j.jaccas.2025.106326
12798721,PMC12798721,Botulism Sequelae: A Systematic Review.,Open Forum Infect Dis,2026 Jan,10.1093/ofid/ofaf773
12789937,PMC12789937,Novel Genetic Findings in Stuve-Wiedemann Syndrome: A Case Report and Review of Literature.,Clin Case Rep,2026 Jan,10.1002/ccr3.71709
12789760,PMC12789760,Fragile X and Fatal Rhythms: Electroconvulsive Therapy-Induced Ventricular Tachycardia.,JACC Case Rep,2025 Sep 10,10.1016/j.jaccas.2025.105077
12766416,PMC12766416,Efficacy and safety of perospirone as adjunctive therapy in major depressive disorder patients with inadequate response to antidepressants: a randomized clinical trial.,EClinicalMedicine,2025 Dec,10.1016/j.eclinm.2025.103626
12711217,PMC12711217,Use of Ivabradine in the Treatment of Patients with Postural Orthostatic Tachycardia Syndrome (POTS): A Systematic Review.,Arq Bras Cardiol,2025 Nov,10.36660/abc.20250347
12745264,PMC12745264,"Anti-LGI1 encephalitis: clinical presentation, imaging features, and prognostic analysis.",Front Neurol,2025,10.3389/fneur.2025.1703647
12741864,PMC12741864,Harnessing Artificial Intelligence for Precision Cardiovascular Medicine.,Cureus,2025 Nov,10.7759/cureus.97837
12733568,PMC12733568,The Vagal Link: Autonomic Nervous System Dysfunction in Cardiac Amyloidosis.,J Clin Med,2025 Dec 18,10.3390/jcm14248963
12729304,PMC12729304,Cardiac Autonomic Dysfunction and Increased Oxidative Stress in Conventional Cigarettes and E-Cigarettes: Heart Rate Variability as a Cardiovascular Predictor.,Antioxidants (Basel),2025 Dec 18,10.3390/antiox14121516
12723223,PMC12723223,Acute Autonomic Sensory Neuropathy Causing Severe Hyponatremia: A Rare Cause of Syndrome of Inappropriate Antidiuresis.,JCEM Case Rep,2026 Jan,10.1210/jcemcr/luaf299
12722888,PMC12722888,Robotic hormonal and autonomic modulation for type 2 diabetes: ileal interposition and hepatic sympathectomy.,Front Surg,2025,10.3389/fsurg.2025.1657656
12714501,PMC12714501,Autonomic Dysfunction and Postural Orthostatic Tachycardia Syndrome Secondary to Abuse.,JACC Case Rep,2025 Nov 26,10.1016/j.jaccas.2025.105773
12683964,PMC12683964,Long-Term Continuous Heart Rate Variability Monitoring Over 20 Days for Severe Tetanus: A Case Report.,Am J Case Rep,2025 Nov 16,10.12659/AJCR.949230
12678056,PMC12678056,Peripheral Neuropathy Associated With Proteasome Inhibitors and Immunomodulatory Drugs: A Pharmacovigilance Disproportionality Analysis Using VigiBase.,Pharmacol Res Perspect,2025 Dec,10.1002/prp2.70191
12673360,PMC12673360,Novel autonomic dysregulation score in children with hypothalamic syndrome.,Endocr Connect,2025 Dec 1,10.1530/EC-25-0336
12662800,PMC12662800,Spinal cord metabolism in multiple sclerosis: a decade of missed opportunities and future directions.,Spinal Cord,2025 Dec,10.1038/s41393-025-01143-4
12648521,PMC12648521,The spiked helmet sign in severe sepsis: an unusual electrocardiographic finding in a critically ill patient.,Oxf Med Case Reports,2025 Nov,10.1093/omcr/omaf232
12628008,PMC12628008,Guillain-Barré Syndrome Following Malaria: A Rare Case Report From Rural Ethiopia and Literature Review.,Clin Case Rep,2025 Nov,10.1002/ccr3.71503
12618121,PMC12618121,Oral Rehabilitation in Patient With Hereditary Sensory and Autonomic Neuropathy (HSAN) Type V: Clinical Report.,Case Rep Dent,2025,10.1155/crid/6868923
12590904,PMC12590904,Autonomic Dysfunction Following Surgical Resection of Cervicomedullary Hemangioblastoma: A Case Report and Literature Review.,Cureus,2025 Oct,10.7759/cureus.94021
12574150,PMC12574150,Postural orthostatic tachycardia syndrome and orthostatic intolerance in adult patients with active cancer.,Cardiooncology,2025 Oct 29,10.1186/s40959-025-00379-6
12564675,PMC12564675,"The Gut-Brain-Immune Axis in Environmental Sensitivity Illnesses: Microbiome-Centered Narrative Review of Fibromyalgia Syndrome, Myalgic Encephalomyelitis/Chronic Fatigue Syndrome, and Multiple Chemical Sensitivity.",Int J Mol Sci,2025 Oct 14,10.3390/ijms26209997
