uid,pmcid,title,journal,pubdate,doi
13045603,PMC13045603,Nonanemic Iron Deficiency: Exercise Performance Recovery After Iron Repletion in Collegiate Athlete.,JACC Case Rep,2026 Mar 25,10.1016/j.jaccas.2026.107376
13023622,PMC13023622,An Overview of Vascular Compression Syndromes and Associations with Autonomic Dysfunction: A Review.,Biomedicines,2026 Mar 17,10.3390/biomedicines14030689
12990615,PMC12990615,CASPR2 antibody-related neurological syndromes in children: three cases report and literature review.,BMC Pediatr,2026 Feb 5,10.1186/s12887-026-06549-4
12966997,PMC12966997,Efficacy of Lidocaine Infusion in the Management of Chronic Myofascial Pain and Intractable Migrainous Headache in a Patient With Hypermobile Ehlers-Danlos Syndrome: A Case Report.,Cureus,2026 Feb,10.7759/cureus.103015
12946650,PMC12946650,The Differential Diagnosis of Coma in the ICU: Hyperacute Postoperative Guillain-Barré Syndrome-A Case Report.,Clin Case Rep,2026 Mar,10.1002/ccr3.72064
12865606,PMC12865606,Case Report: A case of post-viral inflammatory insomnia: observed sleep restoration associated with histamine-targeted interventions and implications for mast cell pathways.,Front Sleep,2025,10.3389/frsle.2025.1736866
12773392,PMC12773392,Abstract 092: Vasospasm as a Consequence of IVIg Usage for GBS.,Stroke Vasc Interv Neurol,2023 Nov,10.1161/SVIN.03.suppl_2.092
12789937,PMC12789937,Novel Genetic Findings in Stuve-Wiedemann Syndrome: A Case Report and Review of Literature.,Clin Case Rep,2026 Jan,10.1002/ccr3.71709
12771084,PMC12771084,Osmotic Nephropathy Induced by L-Proline Stabilized Sucrose-free Intravenous Immunoglobulins: A Case Report.,Kidney Med,2026 Jan,10.1016/j.xkme.2025.101172
12758271,PMC12758271,Review of published research on primary dysautonomia of domestic animals.,Vet Rec,2026 Jan 3,10.1002/vetr.5499
12743803,PMC12743803,Complex chronic adverse events following immunization: a systemic critique and reform proposal for vaccine pharmacovigilance.,Ther Adv Drug Saf,2025,10.1177/20420986251395925
12681373,PMC12681373,Exploring the Effects of Pemivibart Monoclonal Antibody Infusion in Long COVID: A Case Series Offering Initial Clinical Insights.,Cureus,2025 Nov,10.7759/cureus.96246
12664970,PMC12664970,Cerebral fat embolism presenting as paroxysmal sympathetic hyperactivity.,Trauma Case Rep,2025 Dec,10.1016/j.tcr.2025.101272
12640326,PMC12640326,Postural orthostatic tachycardia syndrome is the most frequent cardiovascular autonomic disorder following COVID-19 infection or vaccination.,J Neurol,2025 Nov 22,10.1007/s00415-025-13518-x
12587094,PMC12587094,Autoimmune Epilepsy Secondary to CASPR2 Antibody Encephalitis: A Case Report Highlighting Diagnostic Challenges and Management.,Cureus,2025 Oct,10.7759/cureus.93844
7617864,PMC7617864,Tetanus: recognition and management.,Lancet Infect Dis,2025 Nov,10.1016/S1473-3099(25)00292-0
12564055,PMC12564055,Cervical Oculopathy: The Cervical Spine Etiology of Visual Symptoms and Eye Diseases-A Hypothesis Exploring Mechanisms Linking the Neck and the Eye.,Diagnostics (Basel),2025 Oct 21,10.3390/diagnostics15202650
12547654,PMC12547654,Gastrointestinal Dysautonomia: A Rare Immune-Related Adverse Event That Requires Early Recognition and High-Dose Immunosuppression.,Cureus,2025 Sep,10.7759/cureus.92896
12497629,PMC12497629,Objective test findings in patients with chronic eye symptoms seeking care at an outpatient neck center: ligamentous cervical instability etiology?,Front Neurol,2025,10.3389/fneur.2025.1576315
12446600,PMC12446600,Three Episodes of Neuroleptic Malignant Syndrome With Risperidone: A Case Report and Literature Review.,Case Rep Psychiatry,2025,10.1155/crps/6669246
12196606,PMC12196606,Altered Pain Perception in a Young Adult with Childhood Trauma and Suspected Riley-Day Syndrome: A Case Report.,Reports (MDPI),2025 May 26,10.3390/reports8020080
12247276,PMC12247276,Neuroimmune pathophysiology of long COVID.,Psychiatry Clin Neurosci,2025 Sep,10.1111/pcn.13855
