uid,pmcid,title,journal,pubdate,doi
12429683,PMC12429683,Alpha-Gal Syndrome-A Series of Cases with Different Clinical Pictures.,Int J Mol Sci,2025 Sep 4,10.3390/ijms26178601
11381498,PMC11381498,Rare causes of pediatric anaphylaxis due to obscure allergens.,Front Allergy,2024,10.3389/falgy.2024.1456100
11311942,PMC11311942,Pediatric idiopathic anaphylaxis: practical management from infants to adolescents.,Ital J Pediatr,2024 Aug 9,10.1186/s13052-024-01712-y
8732990,PMC8732990,"Alpha-Gal Syndrome in Children: Peculiarities of a ""Tick-Borne"" Allergic Disease.",Front Pediatr,2021,10.3389/fped.2021.801753
8574113,PMC8574113,Alpha-gal syndrome: the first report in Poland.,Cent Eur J Immunol,2021,10.5114/ceji.2021.108766
8444276,PMC8444276,Idiopathic Anaphylaxis: A Diagnosis of Exclusion.,Allergy Rhinol (Providence),2021 Jan-Dec,10.1177/21526567211041925
7873102,PMC7873102,Idiopathic Anaphylaxis: a Perplexing Diagnostic Challenge for Allergists.,Curr Allergy Asthma Rep,2021 Feb 9,10.1007/s11882-021-00988-y
6830385,PMC6830385,Management Strategies Of Idiopathic Anaphylaxis In The Emergency Room: Current Perspectives.,Open Access Emerg Med,2019,10.2147/OAEM.S200342
6457317,PMC6457317,Food-Induced Anaphylaxis: Role of Hidden Allergens and Cofactors.,Front Immunol,2019,10.3389/fimmu.2019.00673
6225671,PMC6225671,"Aetiology of anaphylaxis in patients referred to an immunology clinic in Colombo, Sri Lanka.",Allergy Asthma Clin Immunol,2018,10.1186/s13223-018-0295-0
5649306,PMC5649306,"Management of pediatric 'cannot intubate, cannot oxygenate'.",Acute Med Surg,2017 Oct,10.1002/ams2.305
5306988,PMC5306988,Type 1 Kounis Syndrome in Patient with Idiopathic Anaphylaxis.,Case Rep Cardiol,2017,10.1155/2017/1089023
