uid,pmcid,title,journal,pubdate,doi
13023622,PMC13023622,An Overview of Vascular Compression Syndromes and Associations with Autonomic Dysfunction: A Review.,Biomedicines,2026 Mar 17,10.3390/biomedicines14030689
12982215,PMC12982215,Systematic literature review: treatment of postural orthostatic tachycardia syndrome (POTS).,Clin Auton Res,2026 Feb,10.1007/s10286-025-01172-2
12892731,PMC12892731,Genetic variants in acetylcholine processing and significant improvement with pyridostigmine in a patient with postural orthostatic tachycardia syndrome: a case report.,Eur Heart J Case Rep,2026 Feb,10.1093/ehjcr/ytag033
12793844,PMC12793844,Exacerbation of Postural Orthostatic Tachycardia Syndrome With Tirzepatide Prescribed for Weight Loss.,JACC Case Rep,2025 Oct 15,10.1016/j.jaccas.2025.105430
12711217,PMC12711217,Use of Ivabradine in the Treatment of Patients with Postural Orthostatic Tachycardia Syndrome (POTS): A Systematic Review.,Arq Bras Cardiol,2025 Nov,10.36660/abc.20250347
12733568,PMC12733568,The Vagal Link: Autonomic Nervous System Dysfunction in Cardiac Amyloidosis.,J Clin Med,2025 Dec 18,10.3390/jcm14248963
12640326,PMC12640326,Postural orthostatic tachycardia syndrome is the most frequent cardiovascular autonomic disorder following COVID-19 infection or vaccination.,J Neurol,2025 Nov 22,10.1007/s00415-025-13518-x
12574150,PMC12574150,Postural orthostatic tachycardia syndrome and orthostatic intolerance in adult patients with active cancer.,Cardiooncology,2025 Oct 29,10.1186/s40959-025-00379-6
12441330,PMC12441330,A Case of Postural Orthostatic Tachycardia Syndrome in a 20-Year-Old Female Athlete: Review of Ivabradine Guidelines.,JACC Case Rep,2025 Jul 16,10.1016/j.jaccas.2025.104167
12382099,PMC12382099,Mapping cerebral blood flow in myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) and orthostatic intolerance: insights from a systematic review.,J Transl Med,2025 Aug 26,10.1186/s12967-025-06954-w
12335401,PMC12335401,Two-year follow-up on multisystem inflammatory syndrome in children (MIS-c): findings from a tertiary paediatric hospital in Latvia.,Eur J Pediatr,2025 Aug 9,10.1007/s00431-025-06253-y
12148095,PMC12148095,Autoimmune Antibodies in Orthostatic Intolerance Syndromes.,Physiol Res,2025 Apr 30,10.33549/physiolres.935504
11646465,PMC11646465,Exercise Interventions in the Management of Postural Orthostatic Tachycardia Syndrome: A Scoping Review.,J Multidiscip Healthc,2024,10.2147/JMDH.S495088
11521494,PMC11521494,Head-Up Tilt Sleeping to Treat Orthostatic Intolerance in a Patient with Advanced Parkinson's Disease: A Case Report.,Case Rep Neurol,2024 Jan-Dec,10.1159/000541424
11051445,PMC11051445,Autoimmunity in Syndromes of Orthostatic Intolerance: An Updated Review.,J Pers Med,2024 Apr 20,10.3390/jpm14040435
10990027,PMC10990027,Complete remission with histamine blocker in a patient with intractable hyperadrenergic postural orthostatic tachycardia syndrome secondary to long coronavirus disease syndrome.,J Hypertens,2024 May 1,10.1097/HJH.0000000000003669
10762669,PMC10762669,Non-invasive Vagus Nerve Simulation in Postural Orthostatic Tachycardia Syndrome.,Arrhythm Electrophysiol Rev,2023,10.15420/aer.2023.20
10760969,PMC10760969,Cardiac noradrenergic deficiency revealed by 18F-dopamine positron emission tomography identifies preclinical central Lewy body diseases.,J Clin Invest,2024 Jan 2,10.1172/JCI172460
10464593,PMC10464593,Case report of long-term postural tachycardia syndrome in a patient after messenger RNA coronavirus disease-19 vaccination with mRNA-1273.,Eur Heart J Case Rep,2023 Aug,10.1093/ehjcr/ytad390
10332885,PMC10332885,COVID-19-Induced Postural Orthostatic Tachycardia Syndrome and Dysautonomia.,Cureus,2023 Jun,10.7759/cureus.40235
10224806,PMC10224806,Autoimmunity in Long Covid and POTS.,Oxf Open Immunol,2023,10.1093/oxfimm/iqad002
10121145,PMC10121145,"Exaggerated blood pressure elevation in response to orthostatic challenge, a post-acute sequelae of SARS-CoV-2 infection (PASC) after hospitalization.",Auton Neurosci,2023 Jul,10.1016/j.autneu.2023.103094
