uid,pmcid,title,journal,pubdate,doi
13059020,PMC13059020,Dual-chamber pacing for vasovagal syncope: A systematic review and meta-analysis of randomized controlled trials.,Int J Cardiol Heart Vasc,2026 Jun,10.1016/j.ijcha.2026.101903
12881254,PMC12881254,Near-Fatal Mastocytosis Mimicking as Malignant Vasovagal Syncope.,JACC Case Rep,2026 Feb 4,10.1016/j.jaccas.2025.106290
12847173,PMC12847173,Pathophysiology and treatment of exercise-associated hyponatremia.,J Endocrinol Invest,2026 Jan,10.1007/s40618-025-02673-7
12790186,PMC12790186,Isolated Left Ventricular Apical Hypoplasia Presenting as Vasovagal Syncope in a Middle-Aged Male Patient.,JACC Case Rep,2025 Nov 5,10.1016/j.jaccas.2025.105600
12650781,PMC12650781,Vasovagal syncope during ultrasound-guided internal jugular vein cannulation: A case report.,Int J Surg Case Rep,2025 Dec,10.1016/j.ijscr.2025.112083
12640326,PMC12640326,Postural orthostatic tachycardia syndrome is the most frequent cardiovascular autonomic disorder following COVID-19 infection or vaccination.,J Neurol,2025 Nov 22,10.1007/s00415-025-13518-x
12587094,PMC12587094,Autoimmune Epilepsy Secondary to CASPR2 Antibody Encephalitis: A Case Report Highlighting Diagnostic Challenges and Management.,Cureus,2025 Oct,10.7759/cureus.93844
12539454,PMC12539454,A Rare Case of Vagoglossopharyngeal Neuralgia.,JACC Case Rep,2025 Sep 24,10.1016/j.jaccas.2025.105224
12515974,PMC12515974,"Immunotherapies for postural orthostatic tachycardia syndrome, other common autonomic disorders, and Long COVID: current state and future direction.",Front Cell Infect Microbiol,2025,10.3389/fcimb.2025.1647203
12514943,PMC12514943,Bezold-Jarisch Reflex-Induced Cardiac Arrest During Colonoscopy Under Sedation: A Case Report.,Am J Case Rep,2025 Oct 7,10.12659/AJCR.949496
12426681,PMC12426681,Cardioneuroablation for Refractory Vasovagal Storm Secondary to a Right Hilar Tumor.,JACC Case Rep,2025 Sep 3,10.1016/j.jaccas.2025.104932
12301619,PMC12301619,Optimizing cardioneuroablation candidate selection: a case report using tilt-table testing with Russo's Fast Italian Protocol.,Eur Heart J Case Rep,2025 Jul,10.1093/ehjcr/ytaf330
12215415,PMC12215415,Inappropriate Sinus Tachycardia Following Cardioneuroablation for Reflex Syncope: A Case Report and Review of the Literature Illustrating this Underappreciated Adverse Effect.,Arrhythm Electrophysiol Rev,2025,10.15420/aer.2025.01
12163257,PMC12163257,Motor induced syncope after cerebral infarction: A case report and literature review.,SAGE Open Med Case Rep,2025,10.1177/2050313X251342060
12148095,PMC12148095,Autoimmune Antibodies in Orthostatic Intolerance Syndromes.,Physiol Res,2025 Apr 30,10.33549/physiolres.935504
12062076,PMC12062076,"Advances in diagnosis, management, and long-term outcomes of pediatric vasovagal syncope: a comprehensive review.",Front Cardiovasc Med,2025,10.3389/fcvm.2025.1481749
12037232,PMC12037232,Swallow Syncope as a Late Complication of Sleeve Gastrectomy.,Cureus,2025 Mar,10.7759/cureus.81434
11932085,PMC11932085,Leadless pacing in young patients.,Eur Heart J Suppl,2025 Mar,10.1093/eurheartjsupp/suae090
11867714,PMC11867714,The Bezold-Jarisch Reflex Following an Endoscopic Endonasal Resection of an Intraosseous Clival Myxoma: A Case Report.,Case Rep Anesthesiol,2025,10.1155/cria/3336045
11750814,PMC11750814,Case Report: Painful left bundle branch block syndrome complicated with vasovagal syncope.,Front Cardiovasc Med,2024,10.3389/fcvm.2024.1438320
11703600,PMC11703600,Cardioneuroablation can be an effective strategy to treat glossopharyngeal neuralgia-related sinus bradycardia and pauses.,J Cardiovasc Electrophysiol,2024 Oct,10.1111/jce.16407
