uid,pmcid,title,journal,pubdate,authors,doi,query_source,year
13079633,PMC13079633,"Females with hypermobile Ehlers–Danlos syndrome self-report more sexual problems than chronic pain controls without hypermobility, males, or patients with hypermobile spectrum disorders.",Front Reprod Health,2026,Neville CE; Wilson FC; Fairweather D; Caywood MK; Gegoutchadze K; Rozen LE; Farahani NA; Shufelt CL; Knight DRT; Gajarawala SN; Bruno KA,10.3389/frph.2026.1753684,EDS_hEDS,2026
13070550,PMC13070550,Tourniquet Use and Anesthesiology Considerations in Patients With Hypermobile Ehlers-Danlos Syndrome: Balancing Orthopedic Needs With Anesthetic Safety.,Cureus,2026 Mar,Unterman K; Fada L; Clark KA; Cherolis J,10.7759/cureus.105190,EDS_hEDS,2026
13067300,PMC13067300,2-Chloroprocaine vs. Lidocaine in a Patient With Hypermobile Ehlers-Danlos Syndrome and a History of Local Anesthetic Resistance: A Case Report.,Case Rep Anesthesiol,2026,Dasika J; Deutch ZB; Hoefnagel AL,10.1155/cria/8693646,EDS_hEDS,2026
13059101,PMC13059101,Bilateral optic neuritis and multiple nerve sheath tumors in a patient with genetically characterized Ehlers-Danlos syndrome: A rare co-occurrence.,Radiol Case Rep,2026 Jun,Larios A BR; Mendoza Blandón MS; Barahona Vargas S; Romero Ríos CK,10.1016/j.radcr.2026.02.074,EDS_hEDS,2026
13045598,PMC13045598,Returning to Exercise After Valsalva-Induced Carotid Artery Dissection.,JACC Case Rep,2026 Mar 25,Gutzwiller L; Carlisle A; Sharifi D; Tayon K; DeMatas K; Phillips SD; Erben Y; Dineen EH; Shapiro B; Taylor BJ,10.1016/j.jaccas.2026.107356,EDS_hEDS,2026
13037643,PMC13037643,The Investigation and Management of the Abdominopelvic Vascular Compression Syndromes in Patients with Ehlers-Danlos Syndrome and Hypermobility Spectrum Disorder.,Vasc Health Risk Manag,2026,Bruessel P; Govender M; Frahm-Jensen G,10.2147/VHRM.S592420,EDS_hEDS,2026
13033888,PMC13033888,Spontaneous pneumothorax-associated with genetic disorders.,Ther Adv Respir Dis,2026 Jan-Dec,Chen X; Ryu JH; Hu X,10.1177/17534666261437339,EDS_hEDS,2026
13026537,PMC13026537,Characterizing Initial Cervical Spine and Neurovascular Findings in 84 Consecutive Patients with Hypermobile Ehlers-Danlos Syndrome: A Retrospective Study.,J Clin Med,2026 Mar 14,Hauser RA; Griffiths M; Watterson A; Matias D; Rawlings BR,10.3390/jcm15062212,EDS_hEDS,2026
12991944,PMC12991944,Acute isolated traumatic anterior pisiform dislocation in an adult: A case report.,Trauma Case Rep,2026 Feb,Shukla D; Engelhardt J; Eckardt P; Kobbe P; Delank S; Aurich M,10.1016/j.tcr.2026.101317,EDS_hEDS,2026
12969107,PMC12969107,Vascular Ehlers-Danlos syndrome with ruptured thoracic aortic aneurysm complicated by vascular graft and endograft infection and aortobronchial fistula.,J Vasc Surg Cases Innov Tech,2026 Jun,Riahi S; Sörelius K; Ben Khemis A; Derbel B; Ziadi J; Denguir R,10.1016/j.jvscit.2026.102169,EDS_hEDS,2026
12966997,PMC12966997,Efficacy of Lidocaine Infusion in the Management of Chronic Myofascial Pain and Intractable Migrainous Headache in a Patient With Hypermobile Ehlers-Danlos Syndrome: A Case Report.,Cureus,2026 Feb,Sebastian R; Wright T; Lee SJ; Gattu K,10.7759/cureus.103015,EDS_hEDS,2026
12958675,PMC12958675,Prevalence and management of mental health comorbidities in a German cohort of patients with Ehlers-Danlos syndromes and a generalized hypermobility spectrum disorder.,Orphanet J Rare Dis,2026 Feb 3,Henning M; Hock M; Shukri A; Löw V; Kernich N; Rauterberg J; Klapproth H; Tantcheva-Poór I,10.1186/s13023-026-04242-4,EDS_hEDS,2026
12892912,PMC12892912,Aebp1 loss in osteoprogenitors leads to skeletal defects resembling Ehlers-Danlos Syndrome by diminishing Wnt/β-catenin signaling.,JCI Insight,2026 Jan 23,Feng S; Feng Z; Deng Z; Wei Y; Lian R; Jin Y; Zhao S; Jin Y; Zhang Z; Zhao L,10.1172/jci.insight.191606,EDS_hEDS,2026
12841094,PMC12841094,The Genetic and Epigenetic Architecture of Keratoconus: Emerging Pathways and Clinical Implications.,Genes (Basel),2026 Jan 6,Cappellani F; Capobianco M; Visalli F; Mazzotta C; D'Esposito F; Tognetto D; Gagliano C; Zeppieri M,10.3390/genes17010066,EDS_hEDS,2026
