condition,symptom,pre_2017_pct,post_2017_pct,shift_pct,pre_n,post_n
EDS_narrow,joint_hypermobility,62.5,60.5,-2.0,32,167
EDS_narrow,subluxations_dislocations,28.1,37.1,9.0,32,167
EDS_narrow,chronic_pain,34.4,31.7,-2.6,32,167
EDS_narrow,orthostatic_intolerance,3.1,11.4,8.3,32,167
EDS_narrow,tachycardia,18.8,30.5,11.8,32,167
EDS_narrow,syncope,9.4,18.6,9.2,32,167
EDS_narrow,flushing,0.0,6.6,6.6,32,167
EDS_narrow,urticaria,3.1,4.2,1.1,32,167
EDS_narrow,anaphylaxis,0.0,4.2,4.2,32,167
EDS_narrow,skin_hyperextensibility,34.4,46.7,12.3,32,167
EDS_narrow,easy_bruising,40.6,25.1,-15.5,32,167
EDS_narrow,fatigue,6.2,22.8,16.5,32,167
EDS_narrow,gi_symptoms,37.5,38.9,1.4,32,167
EDS_narrow,headache_migraine,21.9,24.0,2.1,32,167
EDS_narrow,neuropathy,12.5,14.4,1.9,32,167
EDS_narrow,chiari,9.4,4.8,-4.6,32,167
EDS_narrow,brain_fog,0.0,6.0,6.0,32,167
EDS_narrow,mitral_valve_prolapse,6.2,14.4,8.1,32,167
EDS_narrow,palpitations,12.5,12.6,0.1,32,167
EDS_narrow,medication_sensitivity,0.0,4.2,4.2,32,167
POTS_narrow,joint_hypermobility,25.0,31.0,6.0,12,100
POTS_narrow,subluxations_dislocations,16.7,15.0,-1.7,12,100
POTS_narrow,chronic_pain,33.3,33.0,-0.3,12,100
POTS_narrow,orthostatic_intolerance,33.3,53.0,19.7,12,100
POTS_narrow,tachycardia,83.3,98.0,14.7,12,100
POTS_narrow,syncope,50.0,55.0,5.0,12,100
POTS_narrow,flushing,0.0,14.0,14.0,12,100
POTS_narrow,urticaria,0.0,9.0,9.0,12,100
POTS_narrow,anaphylaxis,0.0,8.0,8.0,12,100
POTS_narrow,skin_hyperextensibility,16.7,15.0,-1.7,12,100
POTS_narrow,easy_bruising,25.0,6.0,-19.0,12,100
POTS_narrow,fatigue,25.0,63.0,38.0,12,100
POTS_narrow,gi_symptoms,58.3,54.0,-4.3,12,100
POTS_narrow,headache_migraine,41.7,51.0,9.3,12,100
POTS_narrow,neuropathy,33.3,48.0,14.7,12,100
POTS_narrow,chiari,8.3,6.0,-2.3,12,100
POTS_narrow,brain_fog,8.3,17.0,8.7,12,100
POTS_narrow,mitral_valve_prolapse,8.3,7.0,-1.3,12,100
POTS_narrow,palpitations,58.3,50.0,-8.3,12,100
POTS_narrow,medication_sensitivity,0.0,7.0,7.0,12,100
POTS_broad,joint_hypermobility,5.7,12.9,7.3,53,333
POTS_broad,subluxations_dislocations,5.7,7.8,2.1,53,333
POTS_broad,chronic_pain,17.0,22.5,5.5,53,333
POTS_broad,orthostatic_intolerance,11.3,19.2,7.9,53,333
POTS_broad,tachycardia,47.2,53.5,6.3,53,333
POTS_broad,syncope,17.0,35.7,18.8,53,333
POTS_broad,flushing,5.7,6.9,1.2,53,333
POTS_broad,urticaria,0.0,3.6,3.6,53,333
POTS_broad,anaphylaxis,1.9,4.8,2.9,53,333
POTS_broad,skin_hyperextensibility,3.8,7.8,4.0,53,333
POTS_broad,easy_bruising,5.7,3.3,-2.4,53,333
POTS_broad,fatigue,15.1,28.8,13.7,53,333
POTS_broad,gi_symptoms,52.8,47.7,-5.1,53,333
POTS_broad,headache_migraine,18.9,29.1,10.3,53,333
POTS_broad,neuropathy,47.2,47.1,-0.0,53,333
POTS_broad,chiari,1.9,3.3,1.4,53,333
POTS_broad,brain_fog,5.7,8.4,2.7,53,333
POTS_broad,mitral_valve_prolapse,1.9,3.9,2.0,53,333
POTS_broad,palpitations,15.1,21.3,6.2,53,333
POTS_broad,medication_sensitivity,1.9,6.6,4.7,53,333
MCAS_narrow,joint_hypermobility,0.0,15.6,15.6,33,122
MCAS_narrow,subluxations_dislocations,0.0,9.0,9.0,33,122
MCAS_narrow,chronic_pain,15.2,24.6,9.4,33,122
MCAS_narrow,orthostatic_intolerance,0.0,15.6,15.6,33,122
MCAS_narrow,tachycardia,12.1,33.6,21.5,33,122
MCAS_narrow,syncope,12.1,31.1,19.0,33,122
MCAS_narrow,flushing,45.5,44.3,-1.2,33,122
MCAS_narrow,urticaria,51.5,37.7,-13.8,33,122
MCAS_narrow,anaphylaxis,27.3,45.9,18.6,33,122
MCAS_narrow,skin_hyperextensibility,0.0,7.4,7.4,33,122
MCAS_narrow,easy_bruising,0.0,1.6,1.6,33,122
MCAS_narrow,fatigue,24.2,32.8,8.5,33,122
MCAS_narrow,gi_symptoms,57.6,61.5,3.9,33,122
MCAS_narrow,headache_migraine,24.2,33.6,9.4,33,122
MCAS_narrow,neuropathy,3.0,18.9,15.8,33,122
MCAS_narrow,chiari,0.0,2.5,2.5,33,122
MCAS_narrow,brain_fog,0.0,9.0,9.0,33,122
MCAS_narrow,mitral_valve_prolapse,3.0,5.7,2.7,33,122
MCAS_narrow,palpitations,3.0,17.2,14.2,33,122
MCAS_narrow,medication_sensitivity,15.2,11.5,-3.7,33,122
