condition,symptom,narrow_pct,broad_only_pct,difference_pct,narrow_n,broad_only_n
POTS,joint_hypermobility,31.1,4.6,26.5,119,284
POTS,subluxations_dislocations,15.1,5.3,9.8,119,284
POTS,chronic_pain,34.5,17.3,17.2,119,284
POTS,orthostatic_intolerance,51.3,5.3,46.0,119,284
POTS,tachycardia,95.8,34.9,60.9,119,284
POTS,syncope,53.8,23.9,29.8,119,284
POTS,flushing,11.8,4.2,7.5,119,284
POTS,urticaria,7.6,1.1,6.5,119,284
POTS,anaphylaxis,6.7,3.2,3.6,119,284
POTS,skin_hyperextensibility,16.8,3.9,12.9,119,284
POTS,easy_bruising,8.4,1.8,6.6,119,284
POTS,fatigue,60.5,13.4,47.1,119,284
POTS,gi_symptoms,54.6,45.8,8.8,119,284
POTS,headache_migraine,49.6,18.7,30.9,119,284
POTS,neuropathy,47.1,48.2,-1.2,119,284
POTS,chiari,5.9,1.8,4.1,119,284
POTS,brain_fog,15.1,4.6,10.5,119,284
POTS,mitral_valve_prolapse,6.7,2.1,4.6,119,284
POTS,palpitations,50.4,7.7,42.7,119,284
POTS,medication_sensitivity,6.7,6.3,0.4,119,284
