Symptom,hEDS narrow %,hEDS broad %,diff,POTS narrow %,POTS broad %,diff,MCAS narrow %,MCAS broad %,diff,Triad narrow %,Triad broad %,diff
joint hypermobility,88.4,88.8,+0.4,43.9,51.0,+7.1,32.1,32.1,+0.0,80.0,83.3,+3.3
subluxations dislocations,46.4,47.4,+1.0,22.0,26.5,+4.6,17.9,17.9,+0.0,46.7,55.6,+8.9
chronic pain,43.8,44.8,+1.1,41.5,44.9,+3.4,33.9,33.9,+0.0,53.3,55.6,+2.2
skin hyperextensibility,64.3,62.1,-2.2,23.2,30.6,+7.4,14.3,14.3,+0.0,40.0,38.9,-1.1
easy bruising,40.2,38.8,-1.4,9.8,13.3,+3.5,5.4,5.4,+0.0,20.0,16.7,-3.3
tachycardia,38.4,38.8,+0.4,93.9,85.7,-8.2,55.4,55.4,+0.0,86.7,77.8,-8.9
syncope,20.5,20.7,+0.2,52.4,51.0,-1.4,39.3,39.3,+0.0,46.7,50.0,+3.3
palpitations,14.3,14.7,+0.4,52.4,48.0,-4.5,28.6,28.6,+0.0,26.7,33.3,+6.7
orthostatic intolerance,12.5,13.8,+1.3,53.7,48.0,-5.7,26.8,26.8,+0.0,40.0,38.9,-1.1
fatigue,30.4,30.2,-0.2,67.1,64.3,-2.8,48.2,48.2,+0.0,86.7,83.3,-3.3
headache migraine,30.4,31.9,+1.5,59.8,55.1,-4.7,51.8,51.8,+0.0,60.0,61.1,+1.1
neuropathy,19.6,19.8,+0.2,41.5,40.8,-0.6,30.4,30.4,+0.0,53.3,55.6,+2.2
brain fog,4.5,4.3,-0.2,18.3,16.3,-2.0,16.1,16.1,+0.0,20.0,22.2,+2.2
gi symptoms,44.6,44.0,-0.7,56.1,56.1,+0.0,58.9,58.9,+0.0,66.7,66.7,+0.0
flushing,7.1,6.9,-0.2,14.6,15.3,+0.7,32.1,32.1,+0.0,33.3,33.3,+0.0
anaphylaxis,5.4,5.2,-0.2,9.8,11.2,+1.5,28.6,28.6,+0.0,20.0,22.2,+2.2
urticaria,4.5,5.2,+0.7,11.0,10.2,-0.8,26.8,26.8,+0.0,26.7,27.8,+1.1
medication sensitivity,4.5,4.3,-0.2,8.5,9.2,+0.6,10.7,10.7,+0.0,13.3,11.1,-2.2
chiari,7.1,6.9,-0.2,7.3,8.2,+0.8,5.4,5.4,+0.0,13.3,16.7,+3.3
mitral valve prolapse,19.6,19.0,-0.7,8.5,13.3,+4.7,10.7,10.7,+0.0,26.7,27.8,+1.1
