Symptom,Total count,Overall %,EDS %,POTS %,MCAS %
joint_hypermobility,130,47.4,62.0,43.9,32.1
gi_symptoms,116,42.3,40.5,56.1,58.9
tachycardia,104,38.0,28.3,93.9,55.4
skin_hyperextensibility,94,34.3,45.9,23.2,14.3
headache_migraine,87,31.8,25.9,59.8,51.8
chronic_pain,80,29.2,32.7,41.5,33.9
subluxations_dislocations,74,27.0,36.1,22.0,17.9
fatigue,71,25.9,20.5,67.1,48.2
syncope,61,22.3,16.6,52.4,39.3
easy_bruising,57,20.8,27.8,9.8,5.4
palpitations,54,19.7,13.2,52.4,28.6
neuropathy,50,18.2,15.1,41.5,30.4
orthostatic_intolerance,49,17.9,11.7,53.7,26.8
mitral_valve_prolapse,28,10.2,12.7,8.5,10.7
flushing,24,8.8,5.9,14.6,32.1
anaphylaxis,21,7.7,3.4,9.8,28.6
urticaria,19,6.9,3.9,11.0,26.8
brain_fog,18,6.6,5.4,18.3,16.1
medication_sensitivity,14,5.1,3.4,8.5,10.7
chiari,11,4.0,5.4,7.3,5.4
